id,latitude,longitude,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms_clean,price,price_per_person,minimum_nights,availability_365,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating
291999,38.71099,-9.14829,Misericrdia,Entire home/apt,6,2.0,4.0,1.0,132.0,22.0,1,324,0.0,1.0,1.0,1,376,2.3,4.59
297131,38.69918,-9.43981,Cascais e Estoril,Entire home/apt,4,1.0,3.0,1.0,112.0,28.0,3,264,0.0,1.0,1.0,0,35,0.22,4.77
299321,38.7213,-9.14437,Santo Antnio,Entire home/apt,2,1.0,1.0,1.0,118.0,59.0,3,249,0.0,1.0,1.0,1,753,4.62,4.87
301264,38.72199,-9.14002,Arroios,Entire home/apt,6,2.0,3.0,1.0,100.0,16.666666666666668,2,189,1.0,1.0,1.0,1,130,0.83,4.69
301871,38.72419,-9.1474,Santo Antnio,Entire home/apt,4,1.0,3.0,1.0,123.0,30.75,3,185,1.0,1.0,1.0,1,170,1.06,4.87
303692,38.72138,-9.13945,Arroios,Entire home/apt,6,2.0,2.0,1.0,99.0,16.5,1,226,1.0,1.0,1.0,0,204,1.31,4.72
304025,38.71308,-9.14514,Misericrdia,Entire home/apt,6,3.0,4.0,1.0,142.0,23.666666666666668,2,104,0.0,1.0,1.0,0,25,0.16,4.2
306191,38.71279,-9.14503,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,109.0,54.5,3,341,0.0,1.0,1.0,1,565,3.51,4.6
307666,38.7787,-9.09634,Parque das Naes,Entire home/apt,3,1.0,2.0,1.0,115.0,38.333333333333336,3,187,0.0,1.0,1.0,0,18,0.12,4.82
307683,38.71143,-9.12778,Santa Maria Maior,Entire home/apt,2,0.0,1.0,1.0,82.0,41.0,6,30,1.0,1.0,1.0,1,485,2.98,4.72
311040,38.71235,-9.1275,Santa Maria Maior,Entire home/apt,4,1.0,2.0,1.0,129.0,32.25,7,309,0.0,1.0,1.0,1,61,0.61,4.97
311047,38.71252,-9.12911,Santa Maria Maior,Entire home/apt,4,1.0,2.0,1.0,126.0,31.5,3,315,0.0,1.0,1.0,1,122,1.01,4.84
322284,38.70989,-9.13637,Santa Maria Maior,Entire home/apt,5,2.0,3.0,1.5,178.0,35.6,3,70,1.0,1.0,1.0,1,496,3.08,4.84
324364,39.27423,-9.31898,Lourinh e Atalaia,Entire home/apt,16,6.0,10.0,4.0,731.0,45.6875,3,274,0.0,1.0,1.0,1,6,0.04,5.0
335344,38.71386,-9.14483,Misericrdia,Entire home/apt,6,2.0,3.0,1.0,110.0,18.333333333333332,3,273,0.0,1.0,1.0,0,337,2.14,4.66
344035,38.71112,-9.14799,Misericrdia,Entire home/apt,5,2.0,2.0,1.0,110.0,22.0,3,94,1.0,1.0,1.0,0,153,1.34,4.86
348764,38.71246,-9.15262,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,91.0,45.5,3,60,1.0,1.0,1.0,1,347,2.16,4.82
349459,38.71418,-9.13572,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.0,94.0,47.0,4,296,0.0,1.0,1.0,0,155,0.97,4.9
349971,38.72659,-9.14522,Santo Antnio,Entire home/apt,12,5.0,6.0,2.0,200.0,16.666666666666668,3,178,0.0,1.0,1.0,0,5,0.05,4.8
349974,38.72488,-9.14511,Santo Antnio,Entire home/apt,10,3.0,2.0,3.0,183.0,18.3,3,313,0.0,1.0,1.0,0,12,0.08,4.64
349975,38.72541,-9.14519,Santo Antnio,Entire home/apt,4,2.0,2.0,1.0,132.0,33.0,3,302,0.0,1.0,1.0,0,13,0.15,4.23
351289,39.28958,-9.21641,Reguengo Grande,Entire home/apt,6,3.0,5.0,1.0,90.0,15.0,5,314,0.0,1.0,1.0,1,87,0.59,4.76
354431,38.71446,-9.15179,Misericrdia,Entire home/apt,5,2.0,2.0,2.0,169.0,33.8,6,99,1.0,1.0,1.0,0,216,1.34,4.9
362562,38.727,-9.16478,Campolide,Entire home/apt,3,2.0,3.0,2.0,100.0,33.333333333333336,7,353,1.0,1.0,1.0,0,47,0.32,4.39
369360,38.71665,-9.14627,Santo Antnio,Entire home/apt,14,6.0,3.0,3.0,500.0,35.714285714285715,5,364,0.0,1.0,1.0,0,182,1.13,4.8
379156,38.70498,-9.17156,Estrela,Entire home/apt,3,1.0,2.0,1.0,82.0,27.333333333333332,3,241,0.0,1.0,1.0,1,30,0.19,4.43
393699,38.71724,-9.14755,Santo Antnio,Entire home/apt,16,13.0,11.0,5.0,293.0,18.3125,5,354,0.0,1.0,1.0,0,148,0.92,4.61
393700,38.71693,-9.148,Santo Antnio,Entire home/apt,7,3.0,6.0,1.0,180.0,25.714285714285715,4,364,0.0,1.0,1.0,0,50,0.31,4.73
395874,38.70691,-9.14846,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,88.0,44.0,3,275,1.0,1.0,1.0,0,254,1.59,4.7
396204,38.98615,-9.41622,Ericeira,Entire home/apt,5,2.0,3.0,2.0,135.0,27.0,75,302,0.0,1.0,1.0,0,63,0.43,4.65
403760,38.71337,-9.12548,So Vicente,Entire home/apt,3,1.0,2.0,1.0,108.0,36.0,3,227,1.0,1.0,1.0,0,211,1.32,4.74
405876,38.69641,-9.42494,Cascais e Estoril,Entire home/apt,6,3.0,4.0,2.0,140.0,23.333333333333332,3,172,0.0,1.0,1.0,1,258,1.67,4.79
407623,38.71732,-9.13098,So Vicente,Entire home/apt,3,2.0,2.0,1.0,90.0,30.0,3,273,0.0,1.0,1.0,0,47,0.29,4.56
416929,38.7338,-9.133,Arroios,Private room,2,1.0,1.0,1.0,37.0,18.5,1,312,0.0,1.0,1.0,0,801,5.09,4.6
417448,38.71956,-9.14255,Santo Antnio,Entire home/apt,3,1.0,2.0,1.0,104.0,34.666666666666664,2,140,1.0,1.0,1.0,1,211,1.32,4.85
418945,38.71156,-9.21046,Belm,Private room,2,1.0,1.0,1.0,804.0,402.0,1,365,0.0,1.0,1.0,0,2,0.01,4.5
424664,39.23805,-9.12181,Cadaval e Pro Moniz,Entire home/apt,5,2.0,4.0,1.0,108.0,21.6,3,251,0.0,1.0,1.0,1,144,0.92,4.76
427653,38.71147,-9.13382,Santa Maria Maior,Entire home/apt,3,0.0,2.0,1.0,78.0,26.0,3,319,0.0,1.0,1.0,0,170,1.09,4.63
428785,38.7129,-9.13817,Santa Maria Maior,Entire home/apt,5,2.0,4.0,2.0,199.0,39.8,1,244,1.0,1.0,1.0,1,206,1.4,4.85
429865,38.805931091308594,-9.472200393676758,Colares,Entire home/apt,2,1.0,1.0,1.0,130.0,65.0,1,283,1.0,1.0,1.0,1,273,1.75,4.77
